Year,Month,Day,Site,Depth (m),Transect,Observer,Species_Code,Coral_genus,Coral_spp,length,width,height,coral_SA,Area_surveyed,Disease_y_n,Disease_type,pale_perc,pale_bleached_perc,bleached_perc,new_mortality,trans_mortality,old_mortality,total_SA_dead,total_live__SA,,
2023,7,4,Marthas,12.1,1,GGG,dlab,Diploria,labyrinthyformis,45.00,35.00,14.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,aaga,Agaricia,agaricites,15.00,10.00,10.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,20.00,17.00,8.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,13.00,10.00,5.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,16.00,12.00,8.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,aaga,Agaricia,agaricites,9.00,10.00,8.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,alam,Agaricia,larmarcki,8.00,6.00,2.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,alam,Agaricia,larmarcki,8.00,6.00,2.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,alam,Agaricia,larmarcki,8.00,6.00,2.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,alam,Agaricia,larmarcki,8.00,6.00,2.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,aaga,Agaricia,agaricites,14.00,10.00,3.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,aaga,Agaricia,agaricites,18.00,13.00,4.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,12.00,8.00,2.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,21.00,22.00,9.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,35.00,21.00,14.00,,,,,,,,,,10,0,0,,
2023,7,4,Marthas,12.1,1,GGG,ssid,Siderastrea,siderea,30.00,18.00,6.00,,,,,100,,,,,12,0,0,,
2023,7,4,Marthas,12.1,1,GGG,aaga,Agaricia,agaricites,24.00,15.00,12.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,aaga,Agaricia,agaricites,28.00,15.00,5.00,,,,,,,,,,10,0,0,,
2023,7,4,Marthas,12.1,1,GGG,ppor,Porites,porites,10.00,8.00,3.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,16.00,15.00,8.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,14.00,10.00,3.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,14.00,10.00,3.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,8.00,6.00,2.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,8.00,6.00,2.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,aaga,Agaricia,agaricites,37.00,23.00,25.00,,,,,,,,,,35,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,15.00,12.00,2.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,aaga,Agaricia,agaricites,30.00,20.00,2.00,,,,,,,,,,25,0,0,,
2023,7,4,Marthas,12.1,1,GGG,aaga,Agaricia,agaricites,13.00,20.00,2.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,maur,Madracis,auretenra,36.00,21.00,11.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,11.00,9.00,4.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,alam,Agaricia,larmarcki,14.00,8.00,2.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,alam,Agaricia,larmarcki,14.00,8.00,2.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,aaga,Agaricia,agaricites,30.00,20.00,20.00,,,,,,,,,,25,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,12.00,10.00,1.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,9.00,9.00,3.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,ppor,Porites,porites,40.00,30.00,8.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,aaga,Agaricia,agaricites,50.00,40.00,30.00,,,,,,,,,,35,0,0,,
2023,7,4,Marthas,12.1,1,GGG,oann,Orbicella,annularis,50.00,55.00,30.00,,,,,,,,,,30,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,10.00,10.00,4.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,10.00,10.00,4.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,10.00,10.00,4.00,,,,,,,,,,,0,0,,
2023,7,4,Marthas,12.1,1,GGG,aaga,Agaricia,agaricites,30.00,20.00,15.00,,,,,,,,,,40,0,0,,
2023,7,4,Marthas,12.1,1,GGG,aaga,Agaricia,agaricites,20.00,15.00,3.00,,,,,,,,,,10,0,0,,
2023,7,4,Marthas,12.1,1,GGG,past,Porites,astreoides,9.00,11.00,9.00,,,,,,,,,,,0,0,,
