Year,Site,Coral No.,OBSERV,TRANSECT,Depth (m),Coral Cover (cm),Sand Cover (cm),CORR CORAL COVER,Coral Spp.,Max   Diameter   (cm),Max Width (cm),Max Height  (cm),% old,%recent,Disease 1 ,Disease 2,Bleaching,Damsel fish,Comments,,,
1999,West Point ,76,RG,,,,,,Moncav,55,,25,10,0,,,,,,,,
1999,West Point ,77,RG,,,,,,Colnat,130,,55,60,10,,,p,,,,,
1999,West Point ,78,RG,,,,,,Monfav,30,,10,10,0,,,,,,,,
1999,West Point ,79,RG,,,,,,Meamea,30,,10,10,0,,,,,,,,
1999,West Point ,80,RG,,,,,,Monfav,25,,5,0,0,,,,,,,,
1999,West Point ,81,RG,,,,,,Agaaga,30,,35,10,0,,,,2,,,,
1999,West Point ,82,RG,,,,,,Moncav,30,,10,0,0,,,,1,,,,
1999,West Point ,83,RG,,14,,,,Moncav,30,,30,10,0,,,,,,,,
1999,West Point ,84,RG,9,13,330,0,330,Moncav,60,,65,20,0,,,,,,,,
1999,West Point ,85,RG,,,,,,Moncav,40,,45,15,0,,,,1,,,,
1999,West Point ,86,RG,,,,,,Agaaga,25,,10,0,0,,,,,,,,
1999,West Point ,87,RG,,,,,,Agaaga,25,,15,10,0,,,,,,,,
1999,West Point ,88,RG,,,,,,Moncav,30,,10,10,0,,,,,,,,
1999,West Point ,89,RG,,,,,,Sidsid,30,,15,0,0,,,,,,,,
1999,West Point ,90,RG,,,,,,Moncav,35,,40,25,10,,,,,,,,
1999,West Point ,91,RG,,,,,,Dicsto,30,,10,10,0,,,,,,,,
1999,West Point ,92,RG,,,,,,Monfav,80,,30,15,0,,,,,,,,
1999,West Point ,93,RG,,,,,,Porpor,35,,10,20,0,,,,,,,,
1999,West Point ,94,RG,,,,,,Monfav,40,,10,10,0,,,,,,,,
1999,West Point ,95,RG,,15,,,,Agaaga,55,,30,20,0,,,,,,,,
1999,West Point ,96,RG,10,14,285,0,285,Sidsid,25,,10,0,0,,,,,,,,
1999,West Point ,97,RG,,,,,,Monfav,35,,10,10,0,,,p,,,,,
1999,West Point ,98,RG,,,,,,Moncav,40,,15,10,0,,,,,,,,
